CutsheetID,Description,ProductID
1,"Stay cool and comfortable when the weather gets hot",1
2,"Keep cozy with furnaces that use gas or oil to heat your home",2
3,"Heat and cool your home with this versatile system powered by electricity",3
4,"Connect to WiFi to manage your comfort preferences",4
5,"Heat and cool your home with an energy-efficient, all-in-one solution",5
6,"Heat or cool multiple rooms or your entire home without using ductwork",6
7,"Explore an array of solutions designed to rid your homeâ€™s air of contaminants",7
8,"Control your comfort from virtually anywhere",8
9,"Enjoy durable comfort with a rust-resistant coil",9
10,"Add or remove moisture from your indoor air to regulate your comfort",10
